"Страна";"Дата";"Заражений";"Выздоровлений";"Смертей";"Заражений за день";"Выздоровлений за день";"Смертей за день"
Алжир;08.02.2020;0;0;0;0;0;0
Алжир;08.03.2020;19;0;0;2;0;0
Алжир;08.04.2020;1572;237;205;104;124;12
Алжир;09.02.2020;0;0;0;0;0;0
Алжир;09.03.2020;20;0;0;1;0;0
Алжир;09.04.2020;1666;347;235;94;110;30
Алжир;10.02.2020;0;0;0;0;0;0
Алжир;10.03.2020;20;0;0;0;0;0
Алжир;10.04.2020;1761;405;256;95;58;21
Алжир;11.02.2020;0;0;0;0;0;0
Алжир;11.03.2020;20;0;0;0;0;0
Алжир;11.04.2020;1825;460;275;64;55;19
Алжир;12.02.2020;0;0;0;0;0;0
Алжир;12.03.2020;24;8;1;4;8;1
Алжир;12.04.2020;1914;591;293;89;131;18
Алжир;13.02.2020;0;0;0;0;0;0
Алжир;13.03.2020;26;8;2;2;0;1
Алжир;13.04.2020;1983;601;313;69;10;20
Алжир;14.02.2020;0;0;0;0;0;0
Алжир;14.03.2020;37;12;3;11;4;1
Алжир;14.04.2020;2070;691;326;87;90;13
Алжир;15.02.2020;0;0;0;0;0;0
Алжир;15.03.2020;48;12;4;11;0;1
Алжир;15.04.2020;2160;708;336;90;17;10
Алжир;16.02.2020;0;0;0;0;0;0
Алжир;16.03.2020;54;12;4;6;0;0
Алжир;16.04.2020;2268;783;348;108;75;12
Алжир;17.02.2020;0;0;0;0;0;0
Алжир;17.03.2020;60;12;4;6;0;0
Алжир;17.04.2020;2418;846;364;150;63;16
Алжир;18.02.2020;0;0;0;0;0;0
Алжир;18.03.2020;74;12;7;14;0;3
Алжир;18.04.2020;2534;894;367;116;48;3
Алжир;19.02.2020;0;0;0;0;0;0
Алжир;19.03.2020;87;32;9;13;20;2
Алжир;19.04.2020;2629;1047;375;95;153;8
Алжир;20.02.2020;0;0;0;0;0;0
Алжир;20.03.2020;90;32;11;3;0;2
Алжир;20.04.2020;2718;1099;384;89;52;9
Алжир;21.02.2020;0;0;0;0;0;0
Алжир;21.03.2020;139;32;15;49;0;4
Алжир;21.04.2020;2811;1152;392;93;53;8
Алжир;22.01.2020;0;0;0;0;0;0
Алжир;22.02.2020;0;0;0;0;0;0
Алжир;22.03.2020;201;65;17;62;33;2
Алжир;22.04.2020;2910;1204;402;99;52;10
Алжир;23.01.2020;0;0;0;0;0;0
Алжир;23.02.2020;0;0;0;0;0;0
Алжир;23.03.2020;230;65;17;29;0;0
Алжир;23.04.2020;3007;1355;407;97;151;5
Алжир;24.01.2020;0;0;0;0;0;0
Алжир;24.02.2020;0;0;0;0;0;0
Алжир;24.03.2020;264;24;19;34;-41;2
Алжир;24.04.2020;3127;1408;415;120;53;8
Алжир;25.01.2020;0;0;0;0;0;0
Алжир;25.02.2020;1;0;0;1;0;0
Алжир;25.03.2020;302;65;21;38;41;2
Алжир;25.04.2020;3256;1479;419;129;71;4
Алжир;26.01.2020;0;0;0;0;0;0
Алжир;26.02.2020;1;0;0;0;0;0
Алжир;26.03.2020;367;29;25;65;-36;4
Алжир;26.04.2020;3382;1508;425;126;29;6
Алжир;27.01.2020;0;0;0;0;0;0
Алжир;27.02.2020;1;0;0;0;0;0
Алжир;27.03.2020;409;29;26;42;0;1
Алжир;27.04.2020;3517;1558;432;135;50;7
Алжир;28.01.2020;0;0;0;0;0;0
Алжир;28.02.2020;1;0;0;0;0;0
Алжир;28.03.2020;454;31;29;45;2;3
Алжир;28.04.2020;3649;1651;437;132;93;5
Алжир;29.01.2020;0;0;0;0;0;0
Алжир;29.02.2020;1;0;0;0;0;0
Алжир;29.03.2020;511;31;31;57;0;2
Алжир;29.04.2020;3848;1702;444;199;51;7
Алжир;30.01.2020;0;0;0;0;0;0
Алжир;30.03.2020;584;37;35;73;6;4
Алжир;31.01.2020;0;0;0;0;0;0
Алжир;31.03.2020;716;46;44;132;9;9
Ангола;01.02.2020;0;0;0;0;0;0
Ангола;01.03.2020;0;0;0;0;0;0
Ангола;01.04.2020;8;1;2;1;0;0
Ангола;02.02.2020;0;0;0;0;0;0
Ангола;02.03.2020;0;0;0;0;0;0
Ангола;02.04.2020;8;1;2;0;0;0
Ангола;03.02.2020;0;0;0;0;0;0
Ангола;03.03.2020;0;0;0;0;0;0
Ангола;03.04.2020;8;1;2;0;0;0
Ангола;04.02.2020;0;0;0;0;0;0
Ангола;04.03.2020;0;0;0;0;0;0
Ангола;04.04.2020;10;2;2;2;1;0
Ангола;05.02.2020;0;0;0;0;0;0
Ангола;05.03.2020;0;0;0;0;0;0
Ангола;05.04.2020;14;2;2;4;0;0
Ангола;06.02.2020;0;0;0;0;0;0
Ангола;06.03.2020;0;0;0;0;0;0
Ангола;06.04.2020;16;2;2;2;0;0
Ангола;07.02.2020;0;0;0;0;0;0
Ангола;07.03.2020;0;0;0;0;0;0
Ангола;07.04.2020;17;2;2;1;0;0
Ангола;08.02.2020;0;0;0;0;0;0
Ангола;08.03.2020;0;0;0;0;0;0
Ангола;08.04.2020;19;2;2;2;0;0
Ангола;09.02.2020;0;0;0;0;0;0
Ангола;09.03.2020;0;0;0;0;0;0
Ангола;09.04.2020;19;2;2;0;0;0
Ангола;10.02.2020;0;0;0;0;0;0
Ангола;10.03.2020;0;0;0;0;0;0
Ангола;10.04.2020;19;2;2;0;0;0
Ангола;11.02.2020;0;0;0;0;0;0
Ангола;11.03.2020;0;0;0;0;0;0
Ангола;11.04.2020;19;4;2;0;2;0
Ангола;12.02.2020;0;0;0;0;0;0
Ангола;12.03.2020;0;0;0;0;0;0
Ангола;12.04.2020;19;4;2;0;0;0
Ангола;13.02.2020;0;0;0;0;0;0
Ангола;13.03.2020;0;0;0;0;0;0
Ангола;13.04.2020;19;4;2;0;0;0
Ангола;14.02.2020;0;0;0;0;0;0
Ангола;14.03.2020;0;0;0;0;0;0
Ангола;14.04.2020;19;5;2;0;1;0
Ангола;15.02.2020;0;0;0;0;0;0
Ангола;15.03.2020;0;0;0;0;0;0
Ангола;15.04.2020;19;5;2;0;0;0
Ангола;16.02.2020;0;0;0;0;0;0
Ангола;16.03.2020;0;0;0;0;0;0
Ангола;16.04.2020;19;5;2;0;0;0
Ангола;17.02.2020;0;0;0;0;0;0
Ангола;17.03.2020;0;0;0;0;0;0
Ангола;17.04.2020;19;5;2;0;0;0
Ангола;18.02.2020;0;0;0;0;0;0
Ангола;18.03.2020;0;0;0;0;0;0
Ангола;18.04.2020;24;6;2;5;1;0
